experiment protein  msmsID intensity sample group
1 SimulatedProtein4 SimulatedProtein4.Peptide2  11.5712613127 TRT1.2 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide2  11.2408044465 TRT2.1 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide2  10.9715998315 TRT2.2 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide3  14.0660332937 CTL.1 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide3  14.8353384008 CTL.2 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide3  14.8490606474 TRT1.1 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide3  14.2947163552 TRT1.2 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide3  13.1784366423 TRT2.1 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide3  14.0142635358 TRT2.2 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide4  10.4055628557 CTL.1 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide4  10.4599526609 CTL.2 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide4  10.719082914 TRT1.1 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide4  10.6020659145 TRT1.2 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide4  9.44369572029 TRT2.1 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide4  9.96718203968 TRT2.2 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide5  9.15838520863 CTL.1 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide5  9.57081087326 CTL.2 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide5  8.76823260028 TRT1.1 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide5  9.29863912211 TRT1.2 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide5  8.42414555141 TRT2.1 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide5  7.52842204119 TRT2.2 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide6  6.39587307678 CTL.1 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide6  6.27011314755 CTL.2 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide6  6.89618569752 TRT1.1 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide6  6.1211331565 TRT1.2 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide6  5.71513234602 TRT2.1 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide6  6.06173991656 TRT2.2 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide7  5.05957000166 CTL.1 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide7  4.6957158927 CTL.2 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide7  5.44124015358 TRT1.1 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide7  4.90388199544 TRT1.2 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide7  3.93285496339 TRT2.1 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide7  4.08922921922 TRT2.2 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide8  11.5313194815 CTL.1 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide8  11.7564683828 CTL.2 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide8  11.5243322583 TRT1.1 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide8  11.6403253247 TRT1.2 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide8  10.141651825 TRT2.1 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide8  10.5728344748 TRT2.2 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide9  4.05628303177 CTL.1 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide9  4.89453306402 CTL.2 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide9  4.28018480998 TRT1.1 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide9  3.7959302038 TRT1.2 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide9  3.13856403077 TRT2.1 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide9  2.83003307588 TRT2.2 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide10  4.8251897352 CTL.1 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide10  5.38378953167 CTL.2 CTL
1 SimulatedProtein4 SimulatedProtein4.Peptide10  5.21427792526 TRT1.1 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide10  4.98761943274 TRT1.2 TRT1
1 SimulatedProtein4 SimulatedProtein4.Peptide10  3.62624027635 TRT2.1 TRT2
1 SimulatedProtein4 SimulatedProtein4.Peptide10  3.64096072482 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide1  6.20321592394 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide1  6.85300242117 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide1  6.43305176364 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide1  6.81907533421 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide1  6.42870560088 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide1  5.89269640999 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide2  11.0823521459 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide2  10.8331965904 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide2  10.4761018245 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide2  10.3930346333 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide2  10.7782448321 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide2  10.4348315573 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide3  6.44179095005 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide3  6.52662391228 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide3  6.23173537422 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide3  6.06539379714 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide3  6.48553118775 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide3  5.89170911962 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide4  7.97983087557 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide4  8.78854196387 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide4  7.89045618294 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide4  8.30213946017 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide4  8.05877267274 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide4  8.52073764184 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide5  14.2517969186 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide5  14.5069003399 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide5  14.113563858 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide5  14.1873001496 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide5  14.5286928585 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide5  13.993642468 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide6  7.81734897572 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide6  7.83184389981 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide6  7.745305409 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide6  7.15411545134 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide6  7.68475313274 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide6  7.81003418072 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide7  9.92752716017 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide7  10.2616327986 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide7  10.5777400382 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide7  9.52536536345 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide7  9.5960020432 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide7  10.0934046427 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide8  3.29881596253 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide8  3.46430597647 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide8  3.34520794678 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide8  3.25534682972 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide8  3.2206807651 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide8  3.39598892515 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide9  11.47115203 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide9  10.6640386514 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide9  11.2246193595 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide9  11.1616856955 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide9  11.1290147112 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide9  11.5803850553 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide10  11.5680702449 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide10  11.0836836775 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide10  10.8662112851 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide10  11.5722741233 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide10  11.2576308992 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide10  10.8547899567 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide11  10.1262209945 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide11  9.75710352407 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide11  10.04907654986 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide11  9.45298667895 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide11  10.0311253531 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide11  10.00205763067 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide12  9.51656480359 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide12  9.67566480193 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide12  10.04851803483 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide12  9.93622284564 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide12  8.97355792441 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide12  9.32572196969 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide13  9.53893536007 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide13  9.33396579888 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide13  9.83677053284 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide13  10.2724831005 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide13  9.17816401428 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide13  9.25447134221 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide14  10.8211380633 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide14  10.8500235144 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide14  10.5687512287 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide14  10.6132547041 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide14  10.4822184104 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide14  10.5161603408 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide15  9.24243493677 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide15  9.62480205893 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide15  9.40813455179 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide15  9.46038069357 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide15  9.24459845752 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide15  9.8954079167 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide16  10.5567595512 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide16  11.1370134665 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide16  10.6229223992 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide16  10.5925339728 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide16  10.5820265943 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide16  10.1020269942 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide17  12.6036981685 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide17  13.4672168638 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide17  13.2525120213 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide17  12.8723533015 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide17  12.6413855517 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide17  13.233405406 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide18  9.51765301857 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide18  9.0633577413 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide18  9.15730275822 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide18  9.02705854073 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide18  8.70720247651 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide18  8.64175058862 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide19  12.3962358331 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide19  12.3652401496 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide19  12.1456537207 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide19  12.4648577785 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide19  11.9840834987 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide19  12.5770284884 TRT2.2 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide20  10.7661544175 CTL.1 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide20  11.0237544092 CTL.2 CTL
1 SimulatedProtein5 SimulatedProtein5.Peptide20  11.0320106295 TRT1.1 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide20  10.8735970882 TRT1.2 TRT1
1 SimulatedProtein5 SimulatedProtein5.Peptide20  11.1146703523 TRT2.1 TRT2
1 SimulatedProtein5 SimulatedProtein5.Peptide20  10.8188906734 TRT2.2 TRT2
1 SimulatedProtein6 SimulatedProtein6.Peptide1  7.63205334165 CTL.1 CTL
